,sentence,subject,object,label,memo
56,특히 페르남부쿠와 바이아 해안 지역을 중심으로 아프리카 요리의 영향이 강하게 드러난다.,,,,
57,"식민지 시기 이전부터 원주민들이 재배하던 채소, 쇠고기와 양고기, 생선과 해산물 등이 풍부하며, 북동부 지역의 향토 식재료로는 코알류 치즈, 카르니 지 소우, 만테이가 다 테하, 하파두라 등이 있다.",,,,
58,대표적인 음식은 다음과 같다.,,,,
59,"중서부 지방의 식문화는 판타나우 습지 지역의 원주민 요리 및 아프리카계, 포르투갈계, 이탈리아계, 시리아계 이민자 음식의 영향을 받아 형성되었다.",,,,
60,"주요한 향토 식재료로 페키, 망가바, 구아바, 캐슈 등 열대 과일, 카사바와 플랜틴, 옥수수 등 토착 주식 작물, 파쿠, 피라냐, 카라신, 붉은꼬리메기 등 민물생선, 아르마딜로나 악어(앨리게이터), 맥 등 사냥 고기가이 있다.",,,,
61,"시파나 소파 파라구아이아 등 파라과이 음식, 사우테냐 등 볼리비아 음식도 흔히 볼 수 있다.",,,,
62,대표적인 음식은 다음과 같다.,,,,
63,"남동부 지방의 식문화는 원주민 및 유럽(포르투갈·이탈리아·독일)계, 아시아(일본·레바논·시리아)계, 아프리카계 등 이민자의 영향을 받아 형성되었다.",,,,
64,"옥수수, 오크라, 케일 등 채소와, 닭고기, 돼지고기, 쇠고기 등의 육류, 미나스 치즈를 비롯한 유제품 등이 풍부하게 쓰인다.",,,,
65,"팡 지 케이주(치즈 빵)을 비롯해 아보아도르, 세킬류, 호스카 등 여러 가지 전통 과자류도 발달했다.",,,,
66,대표적인 음식은 다음과 같다.,,,,
67,"남부 지방의 식문화는 독일, 우크라이나, 이탈리아, 스페인, 포르투갈, 폴란드 등 유럽계 이민자의 영향이 강하게 드러난다.",,,,
68,"향토 식재료로는 피냥, 콜로니아 치즈 등이 있으며, 오랜 낙농·축산 역사로 쇠고기와 유제품을 이용한 음식이 발달했으며, 기후가 비교적 서늘해 밀, 포도 등 유럽에서 들여온 온대 작물이 재배된다.",,,,
69,"살라미 등 런천미트와 독일식 소시지 등 유럽 식재료와 쿠치아(쿠티야), 슈네케, 피에로기 등 유럽 음식도 흔히 볼 수 있다.",,,,
70,"브라질의 대표적인 술로는 카샤사가 있으며, 칵테일인 카이피리냐도 유명하다.",,,,
71,"여러 가지 과일 주스도 즐겨 마시며, 사탕수수 즙이나 스위스 레모네이드 등도 흔한 음료이다.",,,,
72,"커피 음료로는 카페 콩 레이치나 핑가두, 메지아 등 밀크 커피, 카페 카리오카 등 블랙 커피가 있다.",,,,
73,"마테 음료인 시마항, 테레레, 마테차 또는 다른 차·허브차를 마시기도 한다.",,,,
