,sentence,subject,object,label,memo
17,결과적으로 관광객을 위해 준비된 헝가리 요리는 항상 전통적이고 덜 화려한 방식으로 음식을 먹어왔던 헝가리인들에게 상당히 특이해 보일 수 있다.,,,,
18,"구야시는 전형적인 헝가리 음식인데, 사실은 자주 먹지 않는 전통적인 음식이다.",,,,
19,"그 밖의 유명한 헝가리의 고기 스튜로는 두툼한 크림 파프리카 그레이비에 끓인 고기를 넣은 스튜인 퍼프리카시(Paprikás), 뼈 없는 육류(대개 소고기나 돼지고기), 양파, 달콤한 파프리카 가루로 만든 스튜인 푀르쾰트(pörkölt)가 있는데, 이 2가지 모두 노케들리(Nokedli)와 걸루슈커(Galuska, 슈페츨레)를 곁들여 나온다.",,,,
20,"구식 요리에서는 자두나 살구 같은 과일을 고기나 톡 쏘는 소스, 소와 함께 요리하면서 구이를 만들거나 칼집을 낸다.",,,,
21,"여기에는 다양한 종류의 국수, 만두, 감자, 쌀이 반찬으로 제공된다.",,,,
22,"헝가리의 건식 소시지인 콜바스(Kolbász), 텔리살라미(Téliszalámi, 겨울살라미)도 헝가리 요리의 필수품이다.",,,,
23,"헝가리 요리의 다른 특징으로는 수프, 캐서롤, 디저트, 페이스트리와 소를 넣은 크레프인 펄러친터(Palacsinta, 팔라신타, 호두를 갈아 넣은 다크 초콜릿 소스에 플람베를 넣은 팬케이크), 지역마다 서로 다른 요리(예를 들어 헝가리식 매운탕인 헐라슬레(Halászlé, ""어부의 수프""라는 뜻)는 헝가리를 흐르는 2개의 큰 강인 도나우강과 티서강 유역 지대에서 다른 요리를 띤다.), 도보슈토르터(Dobostorta, 얇은 층 사이에 초콜릿 버터크림을 넣고 바삭바삭한 카라멜을 얇게 얹은 스펀지 케이크)가 있다.",,,,
24,"헝가리 요리의 두 가지 주목할 만한 요소는 현지인들에게는 거의 주목을 받지 못하지만 대개 외국인들로부터 많은 열정을 이끌어 내는 것인데, 푀젤레크(Főzelék)라고 부르는 야채 스튜, 신맛을 내는 체리 수프인 히데그 메질레베시(Hideg meggyleves)와 같은 차가운 과일 수프가 있다.",,,,
25,"헝가리 요리는 다양한 치즈를 사용하지만 가장 일반적인 것은 투로(Túró, 바스러진 크바르크의 일종), 크림 치즈, 매운 맛을 내는 암양 치즈(유흐투로, Juhturó), 커러반 치즈(Karaván), 펀노니어 치즈(Pannónia), 팔푸스터이 치즈(Pálpusztai), 엠멘탈러르(Emmentaler, 에멘탈 치즈), 에덤 치즈(Edam, 에담 치즈), 트러피스트 치즈(Trapist, 트라피스트 치즈)이다.",,,,
26,헝가리 요리의 중요한 부분은 다양한 훈제 돼지고기 제품의 폭넓은 선택이다.,,,,
27,많은 요리는 이러한 재료들 가운데 하나 이상의 훈제한 맛을 통해 그 특징을 얻는다.,,,,
28,"헝가리산 훈제 소시지, 훈제 햄, 훈제 라드 등도 추가 준비 없이 소비된다.",,,,
29,"빵과 신선한 채소를 곁들인 이것들을 흔히 '냉식'이라고 부르는데, 주로 아침이나 저녁으로 먹지만 때로는 식당에서 식전 요리로 제공되기도 한다.",,,,
30,절이거나 발효된 야채로 만든 생산품은 헝가리 요리에 주로 사용된다.,,,,
31,"주요 생산품으로는 시큼한 양배추로 만든 서버뉴 카포스터(Savanyú káposzta, 사우어크라우트), 소금에 절인 고추, 게르킨(Gherkin, 오이 피클) 등이지만 꽃양배추, 녹색 토마토, 아기 수박, 그 외의 다른 야채들도 흔하게 섞여 있다.",,,,
32,이들은 전통적으로 겨울에 소비되었고 종종 추운 겨울 동안 비타민C의 주요 공급원이었다.,,,,
33,"퇼퇴트 카포스터(Töltött káposzta), 후쇼시 카포스터(Húsos káposzta), 코르헤이(Korhely)와 같이 계절적인 정성이 풍부한 몇몇 요리는 서버뉴 카포스터를 기반으로 한다.",,,,
34,"고전적인 헝가리 식당들은 종종 변형된 몇몇 음식들을 반찬으로 제공하는데, 이는 푸짐한 요리의 상큼한 보완물이다.",,,,
35,"헝가리 음식은 엄선된 향신료를 적절히 사용해서 맛을 더하는데, 매운 파프리카와 헝가리 간의 연관성에도 불구하고 대부분의 헝가리 요리에는 매운 고추를 본질적으로 넣지 않고, 그것을 사용하는 요리에 포함시키지 말 것을 식당에 요청할 수도 있다.",,,,
36,"고추는 헝가리의 전통 음식에서 고명으로만 제공되기도 하지만, 식당에서는 매운 맛을 더하기 위해 말린 고추 또는 고추 페이스트를 제공할 수 있다.",,,,
37,이는 멕시코나 태국과 같이 고추와 관련된 다른 나라의 요리들과 극명한 대조를 이룬다.,,,,
38,헝가리에서는 달콤하거나 순한 파프리카가 훨씬 더 일반적이며 대부분의 음식에서 두드러진다.,,,,
39,"또한 테이푈(Tejföl, 스메타나)이라는 사워 크림을 토핑으로 사용하는 것은 헝가리의 많은 요리에서 나타나는 또다른 일반적인 특징이다.",,,,
40,"다양한 종류의 파프리카와 양파(익히지 않거나, 약간의 기름에 서서히 익히거나, 지지거나, 캐러멜화한 경우가 있음) 이외에 일반적으로 향신료로는 딜, 월계수 잎, 후추, 캐러웨이, 고수 잎, 계피, 마늘, 겨자무, 레몬즙과 껍질, 마조람, 겨자, 타라곤, 오레가노, 파슬리, 식초, 양귀비씨, 바닐라 등이 있다.",,,,
41,"조금 사용되는 향신료로는 아니스, 바질, 처빌, 차이브, 정향나무 열매, 향나무 열매, 러비지, 육두구, 로즈메리, 세이보리, 백리향, 타임, 백후추 등이다.",,,,
42,"헝가리 요리는 헝가리인의 역사에 영향을 끼쳤으며, 그 반대의 경우도 마찬가지였다.",,,,
43,"가축의 중요성, 헝가리인들의 유목 생활 양식의 중요성, 헝가리인들이 과거에 귀를 기울였던 초원은 헝가리 음식에서 육류가 두드러지게 나타나게 했으며, 불 위에서 요리하는 구야시, 푀르쾰트, 가마솥 위에서 요리하는 헐라슬레 등 전통적인 고기 요리에 반영되기도 했다.",,,,
44,"15세기에는 르네상스 문화의 영향을 받은 마차시 1세 국왕과 나폴리 출신의 베아트리체 다라고나 왕비가 달콤한 밤과 향신료, 마늘, 생강, 사프란, 육두구, 양파와 같은 새로운 재료와 속을 채워 넣거나 고기로 요리하는 과일 사용법을 소개했다.",,,,
45,생강이나 샤프란과 같은 향신료의 일부는 더 이상 현대 헝가리 요리에 사용되지 않는다.,,,,
46,"헝가리 분지와 트란실바니아 지방에 정착한 상당수의 색슨인(독일 민족), 아르메니아인, 이탈리아인, 유대인, 폴란드인, 체코인, 슬로바키아인은 헝가리의 새로운 요리에 기여하였다.",,,,
47,"헝가리 요리는 오스트리아-헝가리 제국 시대에 오스트리아 요리의 영향을 받았는데, 요리와 음식 준비 방법 또한 오스트리아 요리에서 차용된 경우가 많으며, 그 반대의 경우도 마찬가지다.",,,,
48,헝가리의 몇몇 케이크와 단 음식들은 독일과 오스트리아의 강한 영향력을 보여준다.,,,,
49,"모두 말해 현대 헝가리 요리는 서슬라브족, 발칸반도 주민, 오스트리아인, 독일인의 양식에 고대 우랄 지방의 양식을 합성한 것이다.",,,,
50,"헝가리의 음식은 유럽 대륙의 용광로로 여겨질 수 있는데, 그 자체로 독창적인 헝가리인의 요리에서 요리 기반이 형성되어 있다.",,,,
51,헝가리에서 사람들은 보통 아침을 많이 먹는다.,,,,
52,"헝가리의 아침 식사는 일반적으로 신선한 빵이나 토스트, 버터, 치즈 또는 다른 크림 치즈, 투로 치즈(Túró, 크바르크) 또는 쾨뢰죄트(Körözött, 립타우어 치즈 스프레드), 햄, 간 파테(마이크렘(májkrém) 또는 케뇌마여시(kenőmájas)라고 부름), 베이컨, 살라미, 모르타델라, 카바노스(Kabanos), 비어부르스트(Bierwurst) 또는 콜바스(Kolbász)라고 부르는 그 외의 헝가리 소시지를 넣은 오픈 샌드위치이다.",,,,
53,"전통적으로 신선한 토마토와 풋고추(때로는 파, 무, 오이)가 제철이면 이것과 함께 나온다.",,,,
54,"달걀(튀김, 스크램블 또는 삶은 것)도 아침 식사의 일부일 수 있다.",,,,
55,"과거에 흔히 먹던 고기 종류들(우설, 디스노서이트(Disznósajt, 헤드 치즈) 또는 베레시 후르커(Véres hurka, 블랙 푸딩과 비슷함))은 이제 사람들이 보다 건강한 식단으로 눈을 돌리면서 시골과 보다 관련이 있다.",,,,
56,현대 헝가리인들은 항상 이런 전형적인 아침을 먹는 것은 아니다.,,,,
57,"많은 사람들에게 아침 식사는 우유, 차 또는 커피 한 잔과 잼이나 꿀, 시리얼을 넣은 페이스트리, 키플리(Kifli), 슈트루델(Strudel) 또는 뮤즐리(Muesli), 과일이다.",,,,
58,"아이들은 아침 식사로 코코아 가루와 설탕 또는 과일 시럽을 얹은 쌀 푸딩(Tejberizs, 테이베리주)이나 세몰리나 크림(Tejbegríz, 테이베그리즈)을 먹는다.",,,,
59,아침 식사로는 뜨거운 음료를 선호한다.,,,,
60,빌라슈레겔리(Villásreggeli) 또는 브런치는 특별한 날이나 공휴일에 주는 더욱 고급스러운 큰 아침 식사인데 종종 손님들을 초대한다.,,,,
61,"맵게 양념한 달걀, 찬 스테이크, 찬 샐러드, 연어 오믈렛, 팬케이크, 양의 젖으로 만든 치즈인 쾨뢰죄트(Körözött), 캐비어, 푸아 그라, 과일 샐러드, 콩포트, 과일 요구르트, 과일 주스, 샴페인, 페이스트리, 케이크, 쿠키가 제공될 수 있다.",,,,
62,"점심은 하루의 주요 식사인데, 전통적으로 여러 코스가 있지만, 현대에선 한 코스에 불과한 경우가 많다.",,,,
63,"차갑거나 뜨거운 오르되브르(애피타이저)는 때때로 제공될 수 있고(예: 생선, 달걀 또는 간), 그 다음에는 수프를 제공한다.",,,,
64,수프에 이어서 주 요리가 나온다.,,,,
65,"주 요리는 고기, 반찬, 샐러드(또는 파프리카, 오이, 사우어크라우트 등과 같은 절인 야채)가 디저트에 앞서 나오는 요리이다.",,,,
66,그 다음에는 과일이 오기도 한다.,,,,
67,헝가리에서 팬케이크(또는 크레프)는 메인 요리 또는 디저트로 제공되지만 아침 식사는 제공되지 않는다.,,,,
68,"샐러드는 보통 고기 요리와 함께 제공되는데, 상추와 토마토, 오이, 양파, 또는 그 외의 야채 절임과 함께 만들어진다.",,,,
69,비네그레트에 들어 있는 간단한 얇게 썬 오이나 토마토 샐러드도 대표적이다.,,,,
70,"올리비예 샐러드나 감자 샐러드와 같은 샐러드는 삶은 감자, 야채, 삶은 달걀, 버섯, 튀기거나 삶은 고기나 생선에 비네그레트, 아스픽 또는 마요네즈를 얹어서 만든다.",,,,
71,이 샐러드는 애피타이저나 메인 코스로도 먹는다.,,,,
72,"어떤 사람들과 아이들은 오후에 가벼운 식사를 하는데, 우존너(uzsonna)라고 불리는 보통 오픈 샌드위치, 페이스트리, 케이크나 과일 조각이 있다.",,,,
73,"저녁 식사는 점심 식사보다 일반적으로 덜 중요하며, 전형적인 헝가리 저녁 식사는 없다.",,,,
74,"점심 식사 형태의 식사일 수도 있고, 여러 코스와 같은 음식을 점심에 제공하거나, 위에서 설명한 것처럼 빵, 냉채, 치즈, 토마토, 후추를 곁들인 헝가리 전통의 아침 식사와 같을 수도 있다.",,,,
75,저녁 식사가 중요한 경우에는 같은 방식으로 준비되고 같은 코스로 점심 식사를 충분히 할 수 있을 것이다.,,,,
76,중요한 일이 아닐 때는 남은 음식을 먹기 좋은 시간이다.,,,,
77,헝가리의 식사 시간은 다소 유동적이다.,,,,
78,"대표적인 시간은 아침 6 ~ 9시, 점심 12시 ~ 오후 2시, 저녁 6 ~ 9시이다.",,,,
79,헝가리 사람들은 크리스마스에 헐라슬레(Halászlé)라고 불리는 생선 수프를 먹는다.,,,,
80,"구운 거위, 구운 칠면조 또는 구운 오리, 퇼퇴트 카포스터(Töltött káposzta, 양배추말이)와 같은 다른 요리들도 제공될 수 있다.",,,,
81,"호두나 양귀비씨(bejgli, 베이글리)로 속을 채운 페이스트리 롤은 일반적인 크리스마스 음식이다.",,,,
82,크리스마스 때마다 설론추코르(Szaloncukor)와 같은 사탕과 단 음식은 크리스마스 트리를 장식하는 데에 사용되며 모든 사람들이 크리스마스 트리에서 직접 따 먹는다.,,,,
83,어떤 가정에서는 '바난 레베시'(Banán leves)라고 알려진 바나나 수프가 다가오는 해에 행운과 건강을 가져다 주기 위해 소비된다.,,,,
84,"신년전야(Szilveszter, 실베스테르)에 헝가리인들은 전통적으로 비르슐리(Virsli, 비엔나 소시지), 렌즈콩 수프를 먹으면서 새해를 축하한다.",,,,
85,양력설에는 숙취 해소를 위해 렌즈콩 수프 또는 육류가 많은 사우어크라우트 수프인 코르헤이레베시(Korhelyleves)를 먹는 것이 일반적이다.,,,,
86,"부활절(Húsvét, 후슈베트) 식사는 특산물이 거의 없지만, 일부 헝가리인, 특히 서볼치서트마르베레그주 주민들은 투로 치즈(Túró, 크바르크)와 달걀로 만든 특별하고 달콤한 노란색 치즈인 샤르가투로(Sárgatúró)를 만든다.",,,,
87,"헝가리 와인은 적어도 로마 시대로 거슬러 올라가며, 그 역사는 서슬라브족과 게르만족 사이에 위치한 헝가리를 반영한다.",,,,
88,"가장 잘 알려진 와인은 화이트 디저트 와인인 토커이 어수(Tokaji Aszú, 헝가리 북동부에 위치한 토커이에서 생산된 토커이 포도주)와 빌라니(Villány, 헝가리 남부) 적도포주이다.",,,,
89,"그 외의 포도주로는 에그리 비커베르(Egri Bikavér, ""소의 피""라는 뜻)가 있는데 어둡고 속이 꽉 찬 적포도주이다.",,,,
90,붉은 커런트 포도주와 같은 헝가리산 과일 포도주는 담백하고 맛과 식감이 부드럽다.,,,,
91,"헝가리에서 가장 주목받는 술은 허브 비터인 우니쿰(Unicum), 과일 브랜디인 펄린커(Pálinka, 자두와 배로 만든 증류주)이다.",,,,
92,"어펜터(Apenta), 케쿠티(Kékkúti)를 비롯한 헝가리의 21개 브랜드도 눈에 띈다.",,,,
93,미러(Mira)와 같은 일부 광천수는 치료적 가치가 있다.,,,,
94,트러우비(Traubi) 또는 트러우비쇼더(Traubisoda)는 1971년에 헝가리 벌러톤빌라고시(Balatonvilágos) 마을에서 생산되어 오스트리아에서 출시된 청량음료이다.,,,,
95,"청량음료가 널리 보급되기 이전에 헝가리인들은 쇠르프(Szörp)라고 부르는 자신들만의 청량음료를 만들었는데 이는 산딸기, 커런트, 엘더베리와 같은 과일에 설탕을 넣어서 만든 농축액이다.",,,,
96,이 농축액은 신선한 물이나 탄산수에 희석한다.,,,,
