,sentence,subject,object,label,memo
48,"보통 식사가 나오기전에 건배를 하며, 술잔을 돌리지 않는다.",,,,
49,"상대방의 술잔이 비면 즉시 따라 주는데, 비우지 않았는데도 첨잔하며 계속 권한다.",,,,
50,술잔은 술을 마신 후 밑을 보이는 경우가 많으며 주인이 손님에게 권한다.,,,,
51,"보통 만찬을 위한 식당에 가면 요리가 나오는 순서가 있는데, 보통 차가운 요리를 먼저 내온 후 더운 요리를 내온다.",,,,
52,"더운 요리도 흔히 먹는 볶음요리(热炒)가 먼저 나오고, 가장 중요한 주요리는 그 다음에 나온다.",,,,
53,"주요리는 해삼, 전복, 샥스핀, 제비집 등으로 만든 고급 요리 또는 오리나 돼지를 재료로 만든 요리가 나오는 것이 보통이다.",,,,
54,"요리 중간 중간에 뎬신(딤섬)이 나오는데 보통 식욕을 돋우기 위하여 짠맛의 뎬신이 올라오고, 단맛의 뎬신은 디저트로 먹는다.",,,,
55,"주요리가 끝나면 밥이나 면으로 식사를 하는데, 요리가 충분하면 건너뛰고 탕을 마신다.",,,,
56,그 다음 단맛이 나는 디저트와 과일을 먹는다.,,,,
57,"주문을 할 때에는 이 순서를 고려해서 냉채, 볶음요리, 주요리, 디예신을 각각 선택을 하되, 보통 사람 수 만큼의 주요리를 시키면 적당하다.",,,,
58,초대를 받았을 때 정해진 자리에 앉아야 한다.,,,,
59,원형 테이블이 놓인 자리에서는 안쪽의 중앙이 주인석이다.,,,,
60,"일반적으로 식단은 전채 2~4종, 탕 6~8종, 디저트 2종 등 짝수로 나오는데, 커다란 접시에 담긴 요리를 각자의 접시에 먹을 만큼 덜어내어 먹는다.",,,,
61,보통 손님이 먼저 덜고 주인이 나중에 덜어 낸다.,,,,
62,요리는 한 접시에 한 가지씩만 먹고 여러 요리를 한꺼번에 가져다 먹지 않는다.,,,,
63,"음식의 맛이 섞이지 않도록 접시를 바꾸어 먹는데, 접시를 들고 먹거나 국수를 소리내어 먹거나 죽 종류는 그릇을 입에 대고 먹지는 않는다.",,,,
64,"생선을 먹을 때에는 뒤집어서 먹지 않는데, 이는 배반을 의미하기 때문이다.",,,,
65,새로운 요리가 나올 때 주인이 권하면 주빈부터 사양하지 말고 먹도록 한다.,,,,
66,찰기가 없는 중국쌀의 특성으로 인해 국그릇과 접시는 식탁에 올려둔 채로 먹고 밥그릇은 들고 먹어야 한다.,,,,
67,밥그릇을 들고 먹는 이유는 중국에서는 고개를 숙이고 먹는 모습을 마치 동물이 먹는 모습과 비슷하다고 생각하기 때문이다.,,,,
68,또한 그릇에 입을 대는 것은 금물이다.,,,,
69,"대화도 중요하지만 대화 때문에 음식을 식어버리게 하거나, 자기 앞에 고정시키면 안된다.",,,,
70,중국에서는 음식을 조금 남기는 것이 예의이다.,,,,
71,음식을 남김없이 모두 다 먹으면 준비한 음식이 부족했다는 의미로 해석되므로 주인이 미안함을 느낄 수 있기 때문이다.,,,,
72,단 개인의 앞접시에 담은 음식은 모두 먹는 것이 예의이다.,,,,
73,디저트는 주로 단 음식이 나오기 때문에 조금씩 덜어서 먹도록 한다.,,,,
